                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6163,                 4.0414,                 1.6959,                0.75919,                0.09564,                0.31206,                0.19446,                 1.2561,                 2.7942,                 1.2882,             0.00029811,             0.00029811,             0.00029811
                      2,                 1.3999,                 2.6769,                  1.433,                0.66481,                0.54872,                0.64349,                 0.3944,                 1.4187,                  1.993,                 1.4678,             0.00058921,             0.00058921,             0.00058921
                      3,                 1.3662,                 2.1797,                 1.3878,                0.72255,                0.62758,                0.77808,                0.49677,                 1.2974,                 2.3972,                  1.441,             0.00086831,             0.00086831,             0.00086831
                      4,                 1.3104,                 1.9335,                 1.3584,                0.85592,                0.76529,                0.87297,                0.57085,                 1.2303,                 1.3133,                 1.3738,             0.00085501,             0.00085501,             0.00085501
                      5,                 1.2671,                  1.656,                 1.3192,                0.85541,                 0.8056,                0.89727,                0.58112,                 1.2417,                  1.145,                 1.3873,             0.00083701,             0.00083701,             0.00083701
                      6,                 1.2474,                 1.5295,                 1.3276,                0.92054,                0.80338,                 0.9006,                0.59898,                 1.2164,                0.99607,                 1.3577,             0.00081901,             0.00081901,             0.00081901
                      7,                 1.2227,                 1.3643,                 1.3155,                0.88895,                0.86038,                  0.922,                0.61467,                 1.1988,                 1.0378,                 1.3834,             0.00080101,             0.00080101,             0.00080101
                      8,                 1.2392,                 1.3441,                 1.3133,                0.92969,                0.87909,                0.93174,                0.63591,                 1.1797,                0.96281,                 1.3321,             0.00078301,             0.00078301,             0.00078301
                      9,                 1.2164,                  1.252,                  1.301,                0.91851,                0.85508,                0.91892,                0.62797,                 1.1563,                0.94845,                 1.3078,             0.00076501,             0.00076501,             0.00076501
                     10,                 1.2068,                 1.1904,                 1.2961,                0.96006,                0.89652,                0.95895,                0.66246,                 1.1023,                0.77001,                 1.2973,             0.00074702,             0.00074702,             0.00074702
                     11,                  1.181,                 1.0798,                 1.2702,                0.96655,                0.91963,                0.96799,                0.66974,                 1.1027,                0.71457,                 1.2774,             0.00072902,             0.00072902,             0.00072902
                     12,                 1.1521,                 1.0635,                 1.2576,                0.95408,                0.92737,                0.96229,                0.65125,                  1.149,                0.74942,                 1.3155,             0.00071102,             0.00071102,             0.00071102
                     13,                 1.1425,                  1.003,                 1.2478,                0.95743,                0.88833,                0.95916,                 0.6672,                 1.1197,                0.76638,                 1.2924,             0.00069302,             0.00069302,             0.00069302
                     14,                 1.1273,                0.96071,                 1.2504,                0.96837,                0.91882,                0.96647,                 0.6705,                 1.1153,                0.71733,                 1.3078,             0.00067502,             0.00067502,             0.00067502
                     15,                 1.1237,                 0.9486,                  1.252,                0.96161,                 0.9206,                0.96245,                 0.6771,                 1.0764,                   0.71,                 1.2712,             0.00065703,             0.00065703,             0.00065703
                     16,                 1.1212,                0.91065,                 1.2606,                0.96948,                0.91254,                0.96629,                0.68746,                 1.0728,                0.66389,                 1.2691,             0.00063903,             0.00063903,             0.00063903
                     17,                 1.1294,                0.91304,                 1.2542,                0.97049,                0.91242,                0.97074,                0.68035,                 1.1218,                0.66836,                 1.3168,             0.00062103,             0.00062103,             0.00062103
                     18,                 1.0938,                0.87722,                 1.2189,                0.96105,                0.91617,                0.96281,                0.66989,                 1.0919,                0.70684,                 1.2856,             0.00060303,             0.00060303,             0.00060303
                     19,                 1.0835,                0.85468,                 1.2285,                0.95149,                0.93573,                0.97587,                0.68809,                 1.0577,                 0.6523,                 1.2631,             0.00058503,             0.00058503,             0.00058503
                     20,                 1.0759,                0.84108,                  1.218,                 0.9619,                0.94146,                 0.9706,                0.70068,                 1.0617,                0.62387,                 1.2471,             0.00056703,             0.00056703,             0.00056703
                     21,                 1.0448,                0.81184,                 1.2127,                0.98086,                0.94212,                0.97112,                0.68567,                 1.0486,                0.61753,                 1.2854,             0.00054904,             0.00054904,             0.00054904
                     22,                 1.0597,                0.79179,                 1.2144,                 0.9566,                0.94218,                0.97988,                0.70319,                 1.0544,                0.58757,                 1.2737,             0.00053104,             0.00053104,             0.00053104
                     23,                 1.0361,                0.76499,                 1.2038,                0.98565,                0.93791,                0.97722,                0.70878,                 1.0379,                0.55647,                 1.2512,             0.00051304,             0.00051304,             0.00051304
                     24,                 1.0097,                0.73474,                 1.1793,                0.97026,                0.94933,                0.98125,                0.70439,                 1.0553,                0.55369,                 1.2762,             0.00049504,             0.00049504,             0.00049504
                     25,                 1.0236,                0.72922,                 1.2006,                0.97533,                0.94668,                0.98101,                0.71221,                 1.0301,                0.55709,                 1.2456,             0.00047704,             0.00047704,             0.00047704
                     26,                 1.0326,                0.74647,                 1.1886,                0.98056,                0.95527,                0.97507,                0.71079,                 1.0383,                0.56093,                 1.2392,             0.00045904,             0.00045904,             0.00045904
                     27,                 1.0052,                 0.6999,                  1.176,                0.97965,                0.95533,                0.98305,                0.70093,                  1.055,                0.54042,                 1.2667,             0.00044105,             0.00044105,             0.00044105
                     28,                 0.9978,                0.69547,                 1.1802,                0.96236,                0.94931,                0.97774,                0.70432,                 1.0253,                0.53556,                 1.2584,             0.00042305,             0.00042305,             0.00042305
                     29,                0.99908,                0.69387,                 1.1711,                 0.9698,                0.95985,                0.98674,                0.70785,                 1.0638,                0.52416,                 1.2618,             0.00040505,             0.00040505,             0.00040505
                     30,                0.95908,                0.64429,                 1.1547,                0.96541,                0.96824,                0.98163,                0.70808,                 1.0482,                0.52356,                 1.2632,             0.00038705,             0.00038705,             0.00038705
                     31,                0.97048,                0.65013,                 1.1692,                0.97405,                0.95431,                0.98071,                 0.6983,                 1.0563,                0.53055,                 1.2724,             0.00036905,             0.00036905,             0.00036905
                     32,                0.96547,                0.63353,                 1.1522,                0.96647,                0.96941,                0.98566,                0.72061,                 1.0307,                 0.5003,                 1.2545,             0.00035106,             0.00035106,             0.00035106
                     33,                0.95395,                0.64612,                 1.1537,                0.97072,                0.97095,                0.98184,                0.70396,                 1.0712,                0.51577,                 1.2496,             0.00033306,             0.00033306,             0.00033306
                     34,                0.95503,                0.64599,                 1.1492,                0.97096,                 0.9611,                0.97729,                 0.7047,                 1.0397,                0.51615,                 1.2584,             0.00031506,             0.00031506,             0.00031506
                     35,                0.93799,                0.61457,                 1.1304,                0.97308,                0.97128,                0.98043,                0.71931,                 1.0246,                0.50423,                 1.2409,             0.00029706,             0.00029706,             0.00029706
                     36,                0.93917,                0.60351,                 1.1293,                0.97351,                0.96901,                0.98085,                 0.7169,                 1.0287,                0.50507,                  1.242,             0.00027906,             0.00027906,             0.00027906
                     37,                0.91751,                0.60794,                  1.128,                0.97989,                0.97045,                0.98334,                0.71621,                 1.0202,                0.48552,                 1.2603,             0.00026106,             0.00026106,             0.00026106
                     38,                0.90618,                0.57545,                 1.1155,                0.97555,                0.96346,                0.98403,                0.72355,                 1.0157,                0.48722,                 1.2588,             0.00024307,             0.00024307,             0.00024307
                     39,                 0.9033,                0.58881,                 1.1301,                0.97952,                0.96994,                0.98505,                0.72723,                   1.02,                0.48073,                 1.2451,             0.00022507,             0.00022507,             0.00022507
                     40,                0.89913,                0.57679,                 1.1281,                0.98382,                0.96952,                0.98156,                0.72593,                 1.0091,                0.48035,                 1.2372,             0.00020707,             0.00020707,             0.00020707
                     41,                0.80641,                0.44837,                 1.0986,                0.98392,                0.95858,                0.98424,                0.72352,                 1.0142,                0.46899,                 1.2431,             0.00018907,             0.00018907,             0.00018907
                     42,                0.79206,                0.44745,                 1.0842,                 0.9788,                0.97006,                0.98455,                0.72633,                 1.0024,                0.47959,                 1.2459,             0.00017107,             0.00017107,             0.00017107
                     43,                0.78905,                0.43187,                 1.0745,                0.98762,                0.96661,                0.98442,                0.72665,                 1.0186,                0.46951,                  1.259,             0.00015308,             0.00015308,             0.00015308
                     44,                0.76848,                0.42655,                 1.0694,                0.98834,                0.97381,                0.98536,                0.72319,                 1.0192,                0.46259,                 1.2592,             0.00013508,             0.00013508,             0.00013508
                     45,                0.77024,                0.42411,                 1.0718,                0.98886,                0.97387,                0.98528,                0.72233,                 1.0172,                0.45317,                 1.2635,             0.00011708,             0.00011708,             0.00011708
                     46,                0.74903,                0.41366,                 1.0597,                0.98914,                0.97135,                0.98478,                0.72375,                  1.022,                0.46953,                 1.2555,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     47,                0.74181,                0.40538,                 1.0548,                0.98441,                0.97358,                0.98553,                0.72463,                 1.0135,                0.45028,                 1.2578,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     48,                0.72794,                0.40235,                 1.0435,                0.98504,                0.96423,                0.98624,                0.72598,                 1.0183,                0.44656,                 1.2633,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     49,                0.71389,                0.39163,                   1.04,                0.98219,                0.96826,                0.98695,                 0.7361,                 1.0126,                0.44574,                 1.2602,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     50,                0.69557,                 0.3854,                 1.0292,                0.97997,                0.96872,                0.98678,                0.73532,                 1.0184,                0.44584,                 1.2599,             2.7088e-05,             2.7088e-05,             2.7088e-05
